Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
0.008071422576904297;444;1519;100;air;0;2023-03-21 15:25:34.144782;jghikl;1
0.020033836364746094;454;;;;;;;
0.028016090393066406;458;;;;;;;
0.0400087833404541;454;;;;;;;
0.0480196475982666;456;;;;;;;
0.05964493751525879;452;;;;;;;
0.06807565689086914;448;;;;;;;
0.08061766624450684;442;;;;;;;
0.08961105346679688;460;;;;;;;
0.10147690773010254;462;;;;;;;
0.10981202125549316;460;;;;;;;
0.12394046783447266;460;;;;;;;
0.13110971450805664;454;;;;;;;
0.13969135284423828;444;;;;;;;
0.15117502212524414;464;;;;;;;
0.15922999382019043;466;;;;;;;
0.17200016975402832;454;;;;;;;
0.17930197715759277;460;;;;;;;
0.1915290355682373;464;;;;;;;
0.20075702667236328;446;;;;;;;
0.2132244110107422;456;;;;;;;
0.22025513648986816;462;;;;;;;
0.23233580589294434;454;;;;;;;
0.24035167694091797;456;;;;;;;
0.24835205078125;456;;;;;;;
0.26223301887512207;454;;;;;;;
0.2709312438964844;446;;;;;;;
0.2827463150024414;452;;;;;;;
0.2903287410736084;448;;;;;;;
0.3014967441558838;458;;;;;;;
0.3014967441558838;460;;;;;;;
0.321943998336792;454;;;;;;;
0.3299558162689209;444;;;;;;;
0.34459733963012695;444;;;;;;;
0.35013365745544434;458;;;;;;;
0.3621342182159424;462;;;;;;;
0.3701343536376953;456;;;;;;;
0.37813282012939453;454;;;;;;;
0.3941330909729004;444;;;;;;;
0.402132511138916;446;;;;;;;
0.41413283348083496;440;;;;;;;
0.4221460819244385;458;;;;;;;
0.43413400650024414;456;;;;;;;
0.44213414192199707;464;;;;;;;
0.45520782470703125;452;;;;;;;
0.46320652961730957;458;;;;;;;
0.47580671310424805;446;;;;;;;
0.48411083221435547;436;;;;;;;
0.4926319122314453;462;;;;;;;
0.5048172473907471;458;;;;;;;
0.5124635696411133;462;;;;;;;
0.5238995552062988;454;;;;;;;
0.5324676036834717;454;;;;;;;
0.5451629161834717;458;;;;;;;
0.553189754486084;458;;;;;;;
0.5662124156951904;460;;;;;;;
0.5732917785644531;462;;;;;;;
0.5868203639984131;458;;;;;;;
0.5948183536529541;454;;;;;;;
0.6028189659118652;442;;;;;;;
0.615180253982544;452;;;;;;;
0.6211948394775391;454;;;;;;;
0.6353254318237305;458;;;;;;;
0.6439869403839111;464;;;;;;;
0.6560287475585938;460;;;;;;;
0.6641762256622314;458;;;;;;;
0.6770050525665283;446;;;;;;;
0.6850404739379883;462;;;;;;;
0.6935186386108398;462;;;;;;;
0.7020673751831055;460;;;;;;;
0.7140822410583496;458;;;;;;;
0.7223894596099854;460;;;;;;;
0.730405330657959;462;;;;;;;
0.742919921875;450;;;;;;;
0.7520356178283691;458;;;;;;;
0.7648556232452393;456;;;;;;;
0.7715568542480469;458;;;;;;;
0.7854187488555908;462;;;;;;;
0.7919938564300537;458;;;;;;;
0.8043553829193115;454;;;;;;;
0.808605432510376;446;;;;;;;
0.828366756439209;458;;;;;;;
0.8364100456237793;456;;;;;;;
0.8484096527099609;456;;;;;;;
0.8564107418060303;454;;;;;;;
0.8644099235534668;458;;;;;;;
0.8764104843139648;462;;;;;;;
0.884455680847168;454;;;;;;;
0.8963925838470459;454;;;;;;;
0.9044101238250732;454;;;;;;;
0.9164113998413086;456;;;;;;;
0.9244098663330078;458;;;;;;;
0.9363882541656494;456;;;;;;;
0.9443855285644531;454;;;;;;;
0.9564096927642822;456;;;;;;;
0.9644098281860352;440;;;;;;;
0.9769718647003174;454;;;;;;;
0.9878880977630615;456;;;;;;;
0.9939954280853271;456;;;;;;;
1.0078020095825195;458;;;;;;;
1.014460802078247;442;;;;;;;
1.0272555351257324;448;;;;;;;
1.035402536392212;448;;;;;;;
1.048224925994873;462;;;;;;;
1.057915449142456;462;;;;;;;
1.0688433647155762;460;;;;;;;
1.0781233310699463;462;;;;;;;
1.0896837711334229;464;;;;;;;
1.0983405113220215;446;;;;;;;
1.1105248928070068;440;;;;;;;
1.1185252666473389;458;;;;;;;
1.127072811126709;454;;;;;;;
1.1396243572235107;454;;;;;;;
1.1479523181915283;464;;;;;;;
1.1599805355072021;446;;;;;;;
1.164205551147461;424;;;;;;;
1.1805036067962646;426;;;;;;;
1.1889407634735107;408;;;;;;;
1.201113224029541;394;;;;;;;
1.209535837173462;374;;;;;;;
1.221323013305664;342;;;;;;;
1.2293720245361328;348;;;;;;;
1.2380445003509521;330;;;;;;;
1.2500660419464111;304;;;;;;;
1.2587635517120361;296;;;;;;;
1.2708616256713867;268;;;;;;;
1.2768096923828125;266;;;;;;;
1.2913873195648193;244;;;;;;;
1.2972347736358643;236;;;;;;;
1.31170654296875;210;;;;;;;
1.3141875267028809;196;;;;;;;
1.3269994258880615;182;;;;;;;
1.3395872116088867;170;;;;;;;
1.3486196994781494;146;;;;;;;
1.3606014251708984;150;;;;;;;
1.3687033653259277;132;;;;;;;
1.3792037963867188;116;;;;;;;
1.3881347179412842;114;;;;;;;
1.4008653163909912;104;;;;;;;
1.4085218906402588;94;;;;;;;
1.4182467460632324;84;;;;;;;
1.430088758468628;80;;;;;;;
1.4382376670837402;74;;;;;;;
1.4510447978973389;68;;;;;;;
1.4589474201202393;68;;;;;;;
1.4711229801177979;54;;;;;;;
1.4793477058410645;66;;;;;;;
1.4915668964385986;58;;;;;;;
1.5001707077026367;62;;;;;;;
1.50840425491333;66;;;;;;;
1.5206272602081299;60;;;;;;;
1.5288407802581787;66;;;;;;;
1.540686845779419;74;;;;;;;
1.5490031242370605;74;;;;;;;
1.5617730617523193;74;;;;;;;
1.5695877075195312;86;;;;;;;
1.582237958908081;92;;;;;;;
1.5902800559997559;102;;;;;;;
1.6018397808074951;108;;;;;;;
1.6073658466339111;122;;;;;;;
1.6230239868164062;120;;;;;;;
1.6312274932861328;134;;;;;;;
1.643667459487915;146;;;;;;;
1.6491410732269287;160;;;;;;;
1.6616647243499756;174;;;;;;;
1.6685266494750977;194;;;;;;;
1.6840522289276123;208;;;;;;;
1.6925344467163086;218;;;;;;;
1.700862169265747;242;;;;;;;
1.713693618774414;252;;;;;;;
1.721492052078247;270;;;;;;;
1.7335116863250732;288;;;;;;;
1.7410006523132324;300;;;;;;;
1.7510933876037598;310;;;;;;;
1.7616536617279053;320;;;;;;;
1.7714629173278809;334;;;;;;;
1.7823152542114258;360;;;;;;;
1.7951514720916748;360;;;;;;;
1.8012330532073975;378;;;;;;;
1.8138048648834229;370;;;;;;;
1.818641185760498;410;;;;;;;
1.8292152881622314;414;;;;;;;
1.8441970348358154;436;;;;;;;
1.850825548171997;426;;;;;;;
1.8624017238616943;450;;;;;;;
1.8722243309020996;446;;;;;;;
1.8844890594482422;452;;;;;;;
1.893552541732788;454;;;;;;;
1.9063763618469238;468;;;;;;;
1.913618564605713;458;;;;;;;
1.9209439754486084;454;;;;;;;
1.9342422485351562;452;;;;;;;
1.9420528411865234;456;;;;;;;
1.954263687133789;438;;;;;;;
1.9625165462493896;416;;;;;;;
1.9751858711242676;424;;;;;;;
1.9831962585449219;408;;;;;;;
1.9952011108398438;396;;;;;;;
2.003392457962036;388;;;;;;;
2.0114080905914307;366;;;;;;;
2.023409843444824;346;;;;;;;
2.031402587890625;342;;;;;;;
2.043919801712036;334;;;;;;;
2.0514473915100098;312;;;;;;;
2.0634422302246094;302;;;;;;;
2.073324203491211;274;;;;;;;
2.0849616527557373;270;;;;;;;
2.094064712524414;256;;;;;;;
2.1062140464782715;240;;;;;;;
2.1128718852996826;230;;;;;;;
2.127187490463257;216;;;;;;;
2.1352221965789795;206;;;;;;;
2.143470525741577;184;;;;;;;
2.155747175216675;178;;;;;;;
2.164015293121338;164;;;;;;;
2.175950765609741;156;;;;;;;
2.184405565261841;144;;;;;;;
2.1945831775665283;138;;;;;;;
2.201220989227295;126;;;;;;;
2.2169268131256104;116;;;;;;;
2.2251651287078857;110;;;;;;;
2.237215518951416;104;;;;;;;
2.245598793029785;92;;;;;;;
