Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
0.014903068542480469;476;1519;100;air;60;2023-03-21 15:23:10.423266;jghikl;1
0.02376866340637207;480;;;;;;;
0.03535914421081543;464;;;;;;;
0.04354572296142578;478;;;;;;;
0.05164599418640137;470;;;;;;;
0.06369829177856445;470;;;;;;;
0.07185864448547363;468;;;;;;;
0.07990288734436035;468;;;;;;;
0.09185314178466797;478;;;;;;;
0.09950804710388184;474;;;;;;;
0.1131129264831543;476;;;;;;;
0.12114310264587402;476;;;;;;;
0.12994980812072754;468;;;;;;;
0.13812017440795898;476;;;;;;;
0.13812017440795898;478;;;;;;;
0.15822243690490723;478;;;;;;;
0.1705334186553955;476;;;;;;;
0.17867398262023926;476;;;;;;;
0.186354398727417;474;;;;;;;
0.19716691970825195;480;;;;;;;
0.20522046089172363;464;;;;;;;
0.2187497615814209;478;;;;;;;
0.22783613204956055;458;;;;;;;
0.23616456985473633;470;;;;;;;
0.24840903282165527;472;;;;;;;
0.2564976215362549;480;;;;;;;
0.2688114643096924;484;;;;;;;
0.27678632736206055;468;;;;;;;
0.28489160537719727;460;;;;;;;
0.2977621555328369;474;;;;;;;
0.305661678314209;478;;;;;;;
0.31368374824523926;478;;;;;;;
0.325878381729126;478;;;;;;;
0.33440542221069336;476;;;;;;;
0.34619760513305664;478;;;;;;;
0.3548412322998047;474;;;;;;;
0.36132311820983887;476;;;;;;;
0.3715670108795166;466;;;;;;;
0.3795294761657715;478;;;;;;;
0.3917572498321533;478;;;;;;;
0.4041447639465332;474;;;;;;;
0.4123532772064209;456;;;;;;;
0.42038822174072266;482;;;;;;;
0.43265223503112793;472;;;;;;;
0.4391825199127197;476;;;;;;;
0.453277587890625;464;;;;;;;
0.4612617492675781;470;;;;;;;
0.46970319747924805;474;;;;;;;
0.48177075386047363;476;;;;;;;
0.4901454448699951;478;;;;;;;
0.5021851062774658;480;;;;;;;
0.5104660987854004;454;;;;;;;
0.5187063217163086;464;;;;;;;
0.5307695865631104;470;;;;;;;
0.5391385555267334;476;;;;;;;
0.5508613586425781;478;;;;;;;
0.5598578453063965;468;;;;;;;
0.567634105682373;480;;;;;;;
0.5801153182983398;470;;;;;;;
0.5883452892303467;478;;;;;;;
0.6004178524017334;478;;;;;;;
0.6070547103881836;462;;;;;;;
0.6212942600250244;464;;;;;;;
0.6277832984924316;474;;;;;;;
0.6373555660247803;478;;;;;;;
0.6498618125915527;470;;;;;;;
0.6498618125915527;466;;;;;;;
0.6664855480194092;476;;;;;;;
0.6779279708862305;470;;;;;;;
0.686525821685791;472;;;;;;;
0.6990220546722412;470;;;;;;;
0.7068724632263184;472;;;;;;;
0.7152621746063232;480;;;;;;;
0.7273032665252686;480;;;;;;;
0.7353017330169678;478;;;;;;;
0.743741512298584;458;;;;;;;
0.7545192241668701;470;;;;;;;
0.762758731842041;480;;;;;;;
0.7767086029052734;486;;;;;;;
0.7848899364471436;470;;;;;;;
0.7925684452056885;466;;;;;;;
0.805323600769043;474;;;;;;;
0.8135850429534912;484;;;;;;;
0.8258366584777832;458;;;;;;;
0.8338897228240967;476;;;;;;;
0.8421633243560791;460;;;;;;;
0.8547022342681885;470;;;;;;;
0.8628599643707275;456;;;;;;;
0.8749933242797852;464;;;;;;;
0.8827095031738281;442;;;;;;;
0.8950016498565674;444;;;;;;;
0.9036591053009033;442;;;;;;;
0.9117026329040527;434;;;;;;;
0.9235372543334961;420;;;;;;;
0.9315378665924072;412;;;;;;;
0.9446020126342773;400;;;;;;;
0.9527575969696045;386;;;;;;;
0.9651153087615967;368;;;;;;;
0.9733259677886963;358;;;;;;;
0.9854166507720947;340;;;;;;;
0.993851900100708;326;;;;;;;
1.0058345794677734;304;;;;;;;
1.0146749019622803;294;;;;;;;
1.0227012634277344;278;;;;;;;
1.0347609519958496;268;;;;;;;
1.0423874855041504;250;;;;;;;
1.053635835647583;226;;;;;;;
1.0618455410003662;214;;;;;;;
1.0740876197814941;204;;;;;;;
1.0838236808776855;192;;;;;;;
1.0958056449890137;172;;;;;;;
1.1043376922607422;162;;;;;;;
1.1164309978485107;152;;;;;;;
1.1226699352264404;142;;;;;;;
1.1339874267578125;124;;;;;;;
1.1451084613800049;112;;;;;;;
1.153160810470581;106;;;;;;;
1.1595821380615234;96;;;;;;;
1.1734282970428467;90;;;;;;;
1.1853089332580566;86;;;;;;;
1.193904161453247;74;;;;;;;
1.2066617012023926;74;;;;;;;
1.2138049602508545;72;;;;;;;
1.2228169441223145;66;;;;;;;
1.2352187633514404;60;;;;;;;
1.2427713871002197;62;;;;;;;
1.2552926540374756;64;;;;;;;
1.2640094757080078;66;;;;;;;
1.275085210800171;68;;;;;;;
1.2832117080688477;72;;;;;;;
1.2963881492614746;70;;;;;;;
1.3044452667236328;70;;;;;;;
1.3162362575531006;76;;;;;;;
1.3244974613189697;80;;;;;;;
1.3327453136444092;94;;;;;;;
1.3450655937194824;102;;;;;;;
1.3576021194458008;106;;;;;;;
1.3665235042572021;114;;;;;;;
1.3788130283355713;128;;;;;;;
1.3868634700775146;134;;;;;;;
1.3951916694641113;142;;;;;;;
1.4069795608520508;156;;;;;;;
1.4154026508331299;174;;;;;;;
1.427668809890747;188;;;;;;;
1.4358158111572266;200;;;;;;;
1.448028326034546;214;;;;;;;
1.4563894271850586;232;;;;;;;
1.4690146446228027;244;;;;;;;
1.4771449565887451;248;;;;;;;
1.4869823455810547;272;;;;;;;
1.4975976943969727;290;;;;;;;
1.510169506072998;308;;;;;;;
1.5181193351745605;316;;;;;;;
1.5262844562530518;332;;;;;;;
1.5385055541992188;342;;;;;;;
1.5471389293670654;346;;;;;;;
1.5556135177612305;362;;;;;;;
1.5675992965698242;382;;;;;;;
