Hauteur	Largeur	Longueur	Trou	Pente	PartNumber
1	1	1	0	0	0
1	1	1	0	1	1
1	1	1	0	2	2
1	1	1	1	0	3
1	1	1	1	1	4
1	1	1	1	2	5
1	1	2	0	0	6
1	1	2	0	1	7
1	1	2	0	2	8
1	1	2	1	0	9
1	1	2	1	1	10
1	1	2	1	2	11
1	1	3	0	0	12
1	1	3	0	1	13
1	1	3	0	2	14
1	1	3	1	0	15
1	1	3	1	1	16
1	1	3	1	2	17
1	1	4	0	0	18
1	1	4	0	1	19
1	1	4	0	2	20
1	1	4	1	0	21
1	1	4	1	1	22
1	1	4	1	2	23
1	1	6	0	0	24
1	1	6	0	1	25
1	1	6	0	2	26
1	1	6	1	0	27
1	1	6	1	1	28
1	1	6	1	2	29
1	1	8	0	0	30
1	1	8	0	1	31
1	1	8	0	2	32
1	1	8	1	0	33
1	1	8	1	1	34
1	1	8	1	2	35
1	1	10	0	0	36
1	1	10	0	1	37
1	1	10	0	2	38
1	1	10	1	0	39
1	1	10	1	1	40
1	1	10	1	2	41
1	1	12	0	0	42
1	1	12	0	1	43
1	1	12	0	2	44
1	1	12	1	0	45
1	1	12	1	1	46
1	1	12	1	2	47
1	1	14	0	0	48
1	1	14	0	1	49
1	1	14	0	2	50
1	1	14	1	0	51
1	1	14	1	1	52
1	1	14	1	2	53
1	1	16	0	0	54
1	1	16	0	1	55
1	1	16	0	2	56
1	1	16	1	0	57
1	1	16	1	1	58
1	1	16	1	2	59
1	2	1	0	0	60
1	2	1	0	1	61
1	2	1	0	2	62
1	2	1	1	0	63
1	2	1	1	1	64
1	2	1	1	2	65
1	2	2	0	0	66
1	2	2	0	1	67
1	2	2	0	2	68
1	2	2	1	0	69
1	2	2	1	1	70
1	2	2	1	2	71
1	2	3	0	0	72
1	2	3	0	1	73
1	2	3	0	2	74
1	2	3	1	0	75
1	2	3	1	1	76
1	2	3	1	2	77
1	2	4	0	0	78
1	2	4	0	1	79
1	2	4	0	2	80
1	2	4	1	0	81
1	2	4	1	1	82
1	2	4	1	2	83
1	2	6	0	0	84
1	2	6	0	1	85
1	2	6	0	2	86
1	2	6	1	0	87
1	2	6	1	1	88
1	2	6	1	2	89
1	2	8	0	0	90
1	2	8	0	1	91
1	2	8	0	2	92
1	2	8	1	0	93
1	2	8	1	1	94
1	2	8	1	2	95
1	2	10	0	0	96
1	2	10	0	1	97
1	2	10	0	2	98
1	2	10	1	0	99
1	2	10	1	1	100
1	2	10	1	2	101
1	2	12	0	0	102
1	2	12	0	1	103
1	2	12	0	2	104
1	2	12	1	0	105
1	2	12	1	1	106
1	2	12	1	2	107
1	2	14	0	0	108
1	2	14	0	1	109
1	2	14	0	2	110
1	2	14	1	0	111
1	2	14	1	1	112
1	2	14	1	2	113
1	2	16	0	0	114
1	2	16	0	1	115
1	2	16	0	2	116
1	2	16	1	0	117
1	2	16	1	1	118
1	2	16	1	2	119
1	4	1	0	0	120
1	4	1	0	1	121
1	4	1	0	2	122
1	4	1	1	0	123
1	4	1	1	1	124
1	4	1	1	2	125
1	4	2	0	0	126
1	4	2	0	1	127
1	4	2	0	2	128
1	4	2	1	0	129
1	4	2	1	1	130
1	4	2	1	2	131
1	4	3	0	0	132
1	4	3	0	1	133
1	4	3	0	2	134
1	4	3	1	0	135
1	4	3	1	1	136
1	4	3	1	2	137
1	4	4	0	0	138
1	4	4	0	1	139
1	4	4	0	2	140
1	4	4	1	0	141
1	4	4	1	1	142
1	4	4	1	2	143
1	4	6	0	0	144
1	4	6	0	1	145
1	4	6	0	2	146
1	4	6	1	0	147
1	4	6	1	1	148
1	4	6	1	2	149
1	4	8	0	0	150
1	4	8	0	1	151
1	4	8	0	2	152
1	4	8	1	0	153
1	4	8	1	1	154
1	4	8	1	2	155
1	4	10	0	0	156
1	4	10	0	1	157
1	4	10	0	2	158
1	4	10	1	0	159
1	4	10	1	1	160
1	4	10	1	2	161
1	4	12	0	0	162
1	4	12	0	1	163
1	4	12	0	2	164
1	4	12	1	0	165
1	4	12	1	1	166
1	4	12	1	2	167
1	4	14	0	0	168
1	4	14	0	1	169
1	4	14	0	2	170
1	4	14	1	0	171
1	4	14	1	1	172
1	4	14	1	2	173
1	4	16	0	0	174
1	4	16	0	1	175
1	4	16	0	2	176
1	4	16	1	0	177
1	4	16	1	1	178
1	4	16	1	2	179
1	6	1	0	0	180
1	6	1	0	1	181
1	6	1	0	2	182
1	6	1	1	0	183
1	6	1	1	1	184
1	6	1	1	2	185
1	6	2	0	0	186
1	6	2	0	1	187
1	6	2	0	2	188
1	6	2	1	0	189
1	6	2	1	1	190
1	6	2	1	2	191
1	6	3	0	0	192
1	6	3	0	1	193
1	6	3	0	2	194
1	6	3	1	0	195
1	6	3	1	1	196
1	6	3	1	2	197
1	6	4	0	0	198
1	6	4	0	1	199
1	6	4	0	2	200
1	6	4	1	0	201
1	6	4	1	1	202
1	6	4	1	2	203
1	6	6	0	0	204
1	6	6	0	1	205
1	6	6	0	2	206
1	6	6	1	0	207
1	6	6	1	1	208
1	6	6	1	2	209
1	6	8	0	0	210
1	6	8	0	1	211
1	6	8	0	2	212
1	6	8	1	0	213
1	6	8	1	1	214
1	6	8	1	2	215
1	6	10	0	0	216
1	6	10	0	1	217
1	6	10	0	2	218
1	6	10	1	0	219
1	6	10	1	1	220
1	6	10	1	2	221
1	6	12	0	0	222
1	6	12	0	1	223
1	6	12	0	2	224
1	6	12	1	0	225
1	6	12	1	1	226
1	6	12	1	2	227
1	6	14	0	0	228
1	6	14	0	1	229
1	6	14	0	2	230
1	6	14	1	0	231
1	6	14	1	1	232
1	6	14	1	2	233
1	6	16	0	0	234
1	6	16	0	1	235
1	6	16	0	2	236
1	6	16	1	0	237
1	6	16	1	1	238
1	6	16	1	2	239
3	1	1	0	0	240
3	1	1	0	1	241
3	1	1	0	2	242
3	1	1	1	0	243
3	1	1	1	1	244
3	1	1	1	2	245
3	1	2	0	0	246
3	1	2	0	1	247
3	1	2	0	2	248
3	1	2	1	0	249
3	1	2	1	1	250
3	1	2	1	2	251
3	1	3	0	0	252
3	1	3	0	1	253
3	1	3	0	2	254
3	1	3	1	0	255
3	1	3	1	1	256
3	1	3	1	2	257
3	1	4	0	0	258
3	1	4	0	1	259
3	1	4	0	2	260
3	1	4	1	0	261
3	1	4	1	1	262
3	1	4	1	2	263
3	1	6	0	0	264
3	1	6	0	1	265
3	1	6	0	2	266
3	1	6	1	0	267
3	1	6	1	1	268
3	1	6	1	2	269
3	1	8	0	0	270
3	1	8	0	1	271
3	1	8	0	2	272
3	1	8	1	0	273
3	1	8	1	1	274
3	1	8	1	2	275
3	1	10	0	0	276
3	1	10	0	1	277
3	1	10	0	2	278
3	1	10	1	0	279
3	1	10	1	1	280
3	1	10	1	2	281
3	1	12	0	0	282
3	1	12	0	1	283
3	1	12	0	2	284
3	1	12	1	0	285
3	1	12	1	1	286
3	1	12	1	2	287
3	1	14	0	0	288
3	1	14	0	1	289
3	1	14	0	2	290
3	1	14	1	0	291
3	1	14	1	1	292
3	1	14	1	2	293
3	1	16	0	0	294
3	1	16	0	1	295
3	1	16	0	2	296
3	1	16	1	0	297
3	1	16	1	1	298
3	1	16	1	2	299
3	2	1	0	0	300
3	2	1	0	1	301
3	2	1	0	2	302
3	2	1	1	0	303
3	2	1	1	1	304
3	2	1	1	2	305
3	2	2	0	0	306
3	2	2	0	1	307
3	2	2	0	2	308
3	2	2	1	0	309
3	2	2	1	1	310
3	2	2	1	2	311
3	2	3	0	0	312
3	2	3	0	1	313
3	2	3	0	2	314
3	2	3	1	0	315
3	2	3	1	1	316
3	2	3	1	2	317
3	2	4	0	0	318
3	2	4	0	1	319
3	2	4	0	2	320
3	2	4	1	0	321
3	2	4	1	1	322
3	2	4	1	2	323
3	2	6	0	0	324
3	2	6	0	1	325
3	2	6	0	2	326
3	2	6	1	0	327
3	2	6	1	1	328
3	2	6	1	2	329
3	2	8	0	0	330
3	2	8	0	1	331
3	2	8	0	2	332
3	2	8	1	0	333
3	2	8	1	1	334
3	2	8	1	2	335
3	2	10	0	0	336
3	2	10	0	1	337
3	2	10	0	2	338
3	2	10	1	0	339
3	2	10	1	1	340
3	2	10	1	2	341
3	2	12	0	0	342
3	2	12	0	1	343
3	2	12	0	2	344
3	2	12	1	0	345
3	2	12	1	1	346
3	2	12	1	2	347
3	2	14	0	0	348
3	2	14	0	1	349
3	2	14	0	2	350
3	2	14	1	0	351
3	2	14	1	1	352
3	2	14	1	2	353
3	2	16	0	0	354
3	2	16	0	1	355
3	2	16	0	2	356
3	2	16	1	0	357
3	2	16	1	1	358
3	2	16	1	2	359
3	4	1	0	0	360
3	4	1	0	1	361
3	4	1	0	2	362
3	4	1	1	0	363
3	4	1	1	1	364
3	4	1	1	2	365
3	4	2	0	0	366
3	4	2	0	1	367
3	4	2	0	2	368
3	4	2	1	0	369
3	4	2	1	1	370
3	4	2	1	2	371
3	4	3	0	0	372
3	4	3	0	1	373
3	4	3	0	2	374
3	4	3	1	0	375
3	4	3	1	1	376
3	4	3	1	2	377
3	4	4	0	0	378
3	4	4	0	1	379
3	4	4	0	2	380
3	4	4	1	0	381
3	4	4	1	1	382
3	4	4	1	2	383
3	4	6	0	0	384
3	4	6	0	1	385
3	4	6	0	2	386
3	4	6	1	0	387
3	4	6	1	1	388
3	4	6	1	2	389
3	4	8	0	0	390
3	4	8	0	1	391
3	4	8	0	2	392
3	4	8	1	0	393
3	4	8	1	1	394
3	4	8	1	2	395
3	4	10	0	0	396
3	4	10	0	1	397
3	4	10	0	2	398
3	4	10	1	0	399
3	4	10	1	1	400
3	4	10	1	2	401
3	4	12	0	0	402
3	4	12	0	1	403
3	4	12	0	2	404
3	4	12	1	0	405
3	4	12	1	1	406
3	4	12	1	2	407
3	4	14	0	0	408
3	4	14	0	1	409
3	4	14	0	2	410
3	4	14	1	0	411
3	4	14	1	1	412
3	4	14	1	2	413
3	4	16	0	0	414
3	4	16	0	1	415
3	4	16	0	2	416
3	4	16	1	0	417
3	4	16	1	1	418
3	4	16	1	2	419
3	6	1	0	0	420
3	6	1	0	1	421
3	6	1	0	2	422
3	6	1	1	0	423
3	6	1	1	1	424
3	6	1	1	2	425
3	6	2	0	0	426
3	6	2	0	1	427
3	6	2	0	2	428
3	6	2	1	0	429
3	6	2	1	1	430
3	6	2	1	2	431
3	6	3	0	0	432
3	6	3	0	1	433
3	6	3	0	2	434
3	6	3	1	0	435
3	6	3	1	1	436
3	6	3	1	2	437
3	6	4	0	0	438
3	6	4	0	1	439
3	6	4	0	2	440
3	6	4	1	0	441
3	6	4	1	1	442
3	6	4	1	2	443
3	6	6	0	0	444
3	6	6	0	1	445
3	6	6	0	2	446
3	6	6	1	0	447
3	6	6	1	1	448
3	6	6	1	2	449
3	6	8	0	0	450
3	6	8	0	1	451
3	6	8	0	2	452
3	6	8	1	0	453
3	6	8	1	1	454
3	6	8	1	2	455
3	6	10	0	0	456
3	6	10	0	1	457
3	6	10	0	2	458
3	6	10	1	0	459
3	6	10	1	1	460
3	6	10	1	2	461
3	6	12	0	0	462
3	6	12	0	1	463
3	6	12	0	2	464
3	6	12	1	0	465
3	6	12	1	1	466
3	6	12	1	2	467
3	6	14	0	0	468
3	6	14	0	1	469
3	6	14	0	2	470
3	6	14	1	0	471
3	6	14	1	1	472
3	6	14	1	2	473
3	6	16	0	0	474
3	6	16	0	1	475
3	6	16	0	2	476
3	6	16	1	0	477
3	6	16	1	1	478
3	6	16	1	2	479
